question,image_index,answer_type,ground_truth,prediction
"Which object is closer to the camera: the washing machine or the kettle? Options: {washing machine, kettle}",32292.427_00002318.jpg,str,washing machine,washing machine
"If the leftmost cabinet is 2m wide, how tall is the black chair in meters?",28821.006_00000337.jpg,float,2.103,998.6455078125
What is the ratio of the volume of the rightmost sofa to the circular table under the TV?,183724.018_00000638.jpg,float,5.814,4.717571258544922
"If the sofa is 0.4m tall, how wide is the stool in front of the piano in meters?",12214.439_00001777.jpg,float,0.224,0.8386726975440979
"If the combined height of the TV and TV stand is 2m, how wide is the brown and silver coffee table?",186909.798_00006580.jpg,float,2.546,1.7328004837036133
"If the combined height of the bedside table and left-most cabinet is 3m, how wide is the bed?",114979.918_00002498.jpg,float,3.454,2.318692207336426
"Is the ceiling the same color as the closest or furthest remote control to the camera? Options: {furthest, closest}",14443.893_00002504.jpg,str,closest,closest
"If the table is 1.8m tall, how tall is the brown dresser?",74514.833_00005019.jpg,float,2.279,1048.19921875
How many fruits are in the fruit basket?,47702.364_00003218.jpg,int,4,2
"Including the sofa pillows, how many pillows are on the central gray couch?",144261.993_00005511.jpg,int,6,0
How many placemats are on the table?,22064.414_00001501.jpg,int,6,5
"If the leftmost cabinet is 1.9m wide, how tall is the glass cabinet directly adjacent to it?",65662.203_00000817.jpg,float,2.213,477.9263000488281
Is the combined height of the TV and the TV stand greater than the width of the brick-fireplace?,45899.622_00000877.jpg,str,no,no
"If the washing machine fell to the right, and its new 3D height was 1 foot, what would be the 3D height of the cabinet above it?",164039.451_00000637.jpg,float,0.984,0.7983189225196838
What is the ratio of the 3D length of the stovetop to the 3D height of the oven?,7375.441_00006700.jpg,float,0.626,0.001407406060025096
How many objects of the same height as the red armchair would I need to stack to make a structure as long as the table below the tv?,100592.766_00001489.jpg,float,2.108,0.002436093520373106
Are there more paintings than plants?,32082.626_00008020.jpg,str,no,no
What is the color of the pillow closer in depth?,32082.626_00008020.jpg,str,yellow,yellow
"If the 3D height of the camera closest to the camera is 5 feet, what is the 3D height of the chair farthest from the camera?",91452.019_00011201.jpg,float,6.252,1448.0853271484375
Is the yellow flower vase closer to the camera than the brown door?,91452.019_00011201.jpg,str,yes,no
